gene	gene_class	nonsyn_abnormal_n	nonsyn_abnormal_rate	nonsyn_normal_n	nonsyn_normal_rate	nonsyn_control_n	nonsyn_control_rate	nonsyn_rate_ab_minus_normal	nonsyn_rate_ab_minus_control	rare_abnormal_n	rare_abnormal_rate	rare_normal_n	rare_normal_rate	rare_control_n	rare_control_rate	rare_rate_ab_minus_normal	rare_rate_ab_minus_control
PRDM14	dna_modification	24	0.5106382978723404	183	0.40848214285714285	49	0.3202614379084967	0.10215615501519754	0.19037685996384368	0	0.0	2	0.004464285714285714	0	0.0	-0.004464285714285714	0.0
REST	histone_erase	24	0.5106382978723404	262	0.5848214285714286	94	0.6143790849673203	-0.07418313069908822	-0.10374078709497991	2	0.0425531914893617	11	0.024553571428571428	6	0.0392156862745098	0.017999620060790273	0.0033375052148518977
CDC6	chromatin_remodeling	23	0.48936170212765956	202	0.45089285714285715	64	0.41830065359477125	0.03846884498480241	0.0710610485328883	1	0.02127659574468085	8	0.017857142857142856	2	0.013071895424836602	0.0034194528875379944	0.008204700319844249
CHD1L	chromatin_remodeling	23	0.48936170212765956	212	0.4732142857142857	79	0.5163398692810458	0.01614741641337386	-0.026978167153386245	3	0.06382978723404255	7	0.015625	1	0.006535947712418301	0.04820478723404255	0.05729383952162425
EYA4	histone_erase	23	0.48936170212765956	263	0.5870535714285714	96	0.6274509803921569	-0.09769186930091184	-0.1380892782644973	0	0.0	4	0.008928571428571428	2	0.013071895424836602	-0.008928571428571428	-0.013071895424836602
LEO1	histone_write	23	0.48936170212765956	179	0.39955357142857145	63	0.4117647058823529	0.0898081306990881	0.07759699624530664	0	0.0	1	0.002232142857142857	1	0.006535947712418301	-0.002232142857142857	-0.006535947712418301
PQBP1	rna_modification	23	0.48936170212765956	187	0.4174107142857143	67	0.43790849673202614	0.07195098784194526	0.05145320539563342	0	0.0	0	0.0	0	0.0	0.0	0.0
PBK	histone_write	22	0.46808510638297873	257	0.5736607142857143	86	0.5620915032679739	-0.10557560790273557	-0.09400639688499512	1	0.02127659574468085	2	0.004464285714285714	1	0.006535947712418301	0.016812310030395135	0.014740648032262549
TDG	dna_modification	22	0.46808510638297873	215	0.4799107142857143	59	0.38562091503267976	-0.011825607902735569	0.08246419135029898	0	0.0	1	0.002232142857142857	2	0.013071895424836602	-0.002232142857142857	-0.013071895424836602
ZNF541	chromatin_remodeling	22	0.46808510638297873	138	0.3080357142857143	57	0.37254901960784315	0.16004939209726443	0.09553608677513559	5	0.10638297872340426	42	0.09375	14	0.0915032679738562	0.012632978723404256	0.014879710749548053
ZRANB3	chromatin_remodeling	22	0.46808510638297873	159	0.3549107142857143	53	0.3464052287581699	0.11317439209726443	0.12167987762480881	3	0.06382978723404255	20	0.044642857142857144	10	0.06535947712418301	0.019186930091185404	-0.001529689890140462
BARD1	histone_write	21	0.44680851063829785	249	0.5558035714285714	77	0.5032679738562091	-0.10899506079027355	-0.05645946321791129	0	0.0	27	0.060267857142857144	5	0.032679738562091505	-0.060267857142857144	-0.032679738562091505
PADI4	histone_other	21	0.44680851063829785	237	0.5290178571428571	83	0.5424836601307189	-0.08220934650455924	-0.09567514949242106	1	0.02127659574468085	9	0.020089285714285716	3	0.0196078431372549	0.0011873100303951348	0.0016687526074259489
SMARCA2	histone_read	21	0.44680851063829785	159	0.3549107142857143	50	0.32679738562091504	0.09189779635258355	0.12001112501738281	0	0.0	6	0.013392857142857142	0	0.0	-0.013392857142857142	0.0
CHD9	chromatin_remodeling	20	0.425531914893617	142	0.3169642857142857	60	0.39215686274509803	0.10856762917933133	0.03337505214851899	5	0.10638297872340426	38	0.08482142857142858	15	0.09803921568627451	0.02156155015197568	0.008343763037129748
